timestamp_bigint,timestamp_utc,rsu_id,alert
1594404850837,2020-07-10 18:14:10+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,POE_OFFLINE
1594903635428,2020-07-16 12:47:15+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,POE_OFFLINE
1594900844349,2020-07-16 12:00:44+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,POE_OFFLINE
1594901120443,2020-07-16 12:05:20+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,POE_OFFLINE
1594901673006,2020-07-16 12:14:33+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,NONE
1594901565382,2020-07-16 12:12:45+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,POE_OFFLINE
1594903326131,2020-07-16 12:42:06+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,NONE
1594903490214,2020-07-16 12:44:50+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,NONE
1594902076883,2020-07-16 12:21:16+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,NONE
1594902910044,2020-07-16 12:35:10+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,NONE
1594904133871,2020-07-16 12:55:33+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,POE_OFFLINE
1594914425440,2020-07-16 15:47:05+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,POE_OFFLINE
1594905210492,2020-07-16 13:13:30+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,POE_OFFLINE
1594911268430,2020-07-16 14:54:28+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,POE_OFFLINE
1594905629381,2020-07-16 13:20:29+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,POE_OFFLINE
1594913206466,2020-07-16 15:26:46+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,POE_OFFLINE
1594907473368,2020-07-16 13:51:13+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,POE_OFFLINE
1594901944851,2020-07-16 12:19:04+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,POE_OFFLINE
1594917220447,2020-07-16 16:33:40+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,POE_OFFLINE
1594904284869,2020-07-16 12:58:04+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,POE_OFFLINE
1594909902346,2020-07-16 14:31:42+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,POE_OFFLINE
1594903395410,2020-07-16 12:43:15+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,POE_OFFLINE
1594911515064,2020-07-16 14:58:35+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,NONE
1594905989391,2020-07-16 13:26:29+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,POE_OFFLINE
1594910220440,2020-07-16 14:37:00+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,POE_OFFLINE
1594912463236,2020-07-16 15:14:23+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,NONE
1594906221432,2020-07-16 13:30:21+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,NONE
1594913303806,2020-07-16 15:28:23+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,NONE
1594903729551,2020-07-16 12:48:49+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,NONE
1594906492011,2020-07-16 13:34:52+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,NONE
1594913780970,2020-07-16 15:36:20+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,NONE
1594904003438,2020-07-16 12:53:23+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,NONE
1594907790018,2020-07-16 13:56:30+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,NONE
1594915909087,2020-07-16 16:11:49+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,NONE
1594919475992,2020-07-16 17:11:15+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,SNMP_FAILURE
1594924880519,2020-07-16 18:41:20+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,SNMP_FAILURE
1594914366578,2020-07-16 15:46:06+00:00,f943c318-26c8-45bz-zdzb-d43bz0e56690,SNMP_FAILURE
